GM_NAAM,GM_CODE,OuderRegioCode,GrootOuderRegioCode,total_votes,VVD,Average_House_Price,Average_Income,Population_Density,Population_Increase
Zaanstad,GM0479,K11,P27,83343,11447,292.8,24.4,2131,39
Alblasserdam,GM0482,K14,P28,12130,1392,268.4,23.7,2290,42
Albrandswaard,GM0613,K14,P28,16041,3335,361.9,31.0,1197,63
Barendrecht,GM0489,K14,P28,29358,5143,352.5,29.2,2488,52
Delft,GM0503,K14,P28,59008,7413,311.3,24.6,4615,-17
Dordrecht,GM0505,K14,P28,65410,9016,237.1,24.7,1541,-24
Goeree-Overflakkee,GM1924,K14,P28,33897,4213,274.6,26.0,195,-106
Gorinchem,GM0512,K14,P28,21848,3566,266.0,25.5,2011,52
Hardinxveld-Giessendam,GM0523,K14,P28,11804,1304,267.4,23.3,1098,83
Hendrik-Ido-Ambacht,GM0531,K14,P28,19660,3405,319.5,26.9,3107,175
Hoeksche Waard,GM1963,K14,P28,58356,9647,297.3,28.0,330,-118
Maassluis,GM0556,K14,P28,20041,3399,251.7,25.2,4046,55
Midden-Delfland,GM1842,K14,P28,12941,2925,399.6,29.5,413,5
Molenlanden,GM1978,K14,P28,30024,3975,302.0,25.4,246,141
Nissewaard,GM1930,K14,P28,46894,6768,237.8,25.8,1178,70
Papendrecht,GM0590,K14,P28,19705,3272,256.4,26.2,3423,-66
Ridderkerk,GM0597,K14,P28,28012,3640,256.6,25.3,2006,-89
Rijswijk,GM0603,K14,P28,30520,5056,280.8,27.6,4079,49
Rotterdam,GM0599,K14,P28,294040,34543,282.9,23.7,3001,1166
Schiedam,GM0606,K14,P28,37707,4755,220.5,23.5,4472,147
s-Gravenhage,GM0518,K14,P28,244439,36948,324.8,25.8,6711,1087
Sliedrecht,GM0610,K14,P28,15235,1763,257.4,23.3,2015,17
Vlaardingen,GM0622,K14,P28,38143,5255,231.4,24.2,3174,-30
Voorne aan Zee,GM1992,K14,P28,45369,8683,319.7,30.6,610,448
Westland,GM1783,K14,P28,69208,15341,326.3,26.5,1392,214
Zwijndrecht,GM0642,K14,P28,25143,3734,252.2,25.1,2205,-32
Alphen aan den Rijn,GM0484,K15,P28,69475,13147,286.5,26.9,897,101
Bodegraven-Reeuwijk,GM1901,K15,P28,22890,4310,330.1,28.2,474,101
Capelle aan den IJssel,GM0502,K15,P28,34867,5127,265.4,25.7,4752,-28
Gouda,GM0513,K15,P28,43360,5467,251.2,25.6,4491,68
Hillegom,GM0534,K15,P28,13883,2824,329.8,26.8,1735,-23
Kaag en Braassem,GM1884,K15,P28,18741,4100,363.5,27.7,442,65
Katwijk,GM0537,K15,P28,41707,5809,339.8,24.4,2662,157
Krimpen aan den IJssel,GM0542,K15,P28,18184,2427,300.0,25.8,3835,-27
